Model,F1_max,Precision_max,Recall_max,Accuracy_max,ROC_AUC,PR_AUC
AST,0.8601525608427171,0.8333333333333334,1.0,0.802158273381295,0.7151314712059033,0.7642362353525388
EPANNS,0.8466666666666667,0.8289473684210527,1.0,0.7872559095580678,0.6912792853977612,0.7391578910726453
PANNS,0.8483792262112234,0.8144726712856043,1.0,0.7785200411099692,0.7239748906614263,0.5662632379438353
PASST,0.8614627285513361,0.83375104427736,1.0,0.7975334018499486,0.7532350008670019,0.8013846910687933
PENGI,0.8061349693251534,0.8104693140794224,1.0,0.6752312435765673,0.5660643411748839,0.7452114383259174
QWEN2 AUDIO,0.8061349693251534,0.6752312435765673,1.0,0.6752312435765673,,
SILERO,0.8061349693251534,0.7703549060542797,1.0,0.6752312435765673,0.6193078916440283,0.6438447628700759
WEBRTC,0.708084428514536,0.7426900584795322,0.6765601217656012,0.6233299075025693,,
WHISPER SMALL,0.6539627544391512,0.7587939698492462,0.5745814307458144,0.5894141829393628,,
WHISPER TINY,0.6684397163120568,0.8004246284501062,0.573820395738204,0.6156217882836588,,
